Category name,total questions,correct questions,Performance,Job Profile Name,User name,correctness
Algorithm Development,5,3,Above Average,Data Analyst,jefforson,60.0
Domain Knowledge,3,1,Poor,Data Analyst,robin,33.33
Performance Tuning,5,4,Very Good,Artificial Intelligence (AI) Engineer,andrew,80.0
Back-end Technologies,1,1,Excellent,Data Analyst,lara,100.0
Front-end Technologies,10,7,Good,Cybersecurity Analyst,lara,70.0
Domain Knowledge,9,10,can't predict,Data Analyst,robin,111.11
Networking Skills,5,5,Excellent,Data Analyst,jefforson,100.0
Critical Thinking,3,3,Excellent,Artificial Intelligence (AI) Engineer,robin,100.0
Programming Skills,2,10,can't predict,Full Stack Developer,robin,500.0
Backup and Recovery,4,6,can't predict,Artificial Intelligence (AI) Engineer,jefforson,150.0
Cyber Threat Intelligence,2,8,can't predict,Artificial Intelligence (AI) Engineer,jefforson,400.0
Cyber Threat Intelligence,2,7,can't predict,Database Administrator,andrew,350.0
Version Control/Git,8,5,Above Average,Database Administrator,jefforson,62.5
Statistical Knowledge,9,4,Below Average,Data Analyst,robin,44.44
Programming Skills,8,5,Above Average,Artificial Intelligence (AI) Engineer,lara,62.5
Domain Knowledge,5,7,can't predict,Full Stack Developer,andrew,140.0
Version Control/Git,7,10,can't predict,Database Administrator,lara,142.86
Database Security,2,9,can't predict,Data Analyst,jefforson,450.0
Data Handling,10,1,Extremely Poor,Database Administrator,jefforson,10.0
Data Modeling and Design,7,9,can't predict,Data Analyst,lara,128.57
Understanding of Security Tools,7,3,Below Average,Cybersecurity Analyst,jefforson,42.86
Web Development Tools,4,9,can't predict,Data Analyst,john,225.0
Back-end Technologies,10,4,Below Average,Cybersecurity Analyst,andrew,40.0
Troubleshooting and Problem-Solving,3,9,can't predict,Data Analyst,jefforson,300.0
Database Management,7,2,Very Poor,Database Administrator,lara,28.57
Domain Knowledge,9,10,can't predict,Artificial Intelligence (AI) Engineer,andrew,111.11
Web Development Tools,3,4,can't predict,Cybersecurity Analyst,lara,133.33
Security Policies and Compliance,1,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Critical Thinking,3,8,can't predict,Data Analyst,lara,266.67
Attention to Detail,10,1,Extremely Poor,Data Analyst,robin,10.0
Back-end Technologies,2,9,can't predict,Artificial Intelligence (AI) Engineer,robin,450.0
Knowledge of Security Tools,2,10,can't predict,Artificial Intelligence (AI) Engineer,lara,500.0
Deep Learning,4,2,Average,Artificial Intelligence (AI) Engineer,robin,50.0
Problem-Solving Abilities,8,6,Good,Data Analyst,jefforson,75.0
Cyber Threat Intelligence,7,5,Good,Full Stack Developer,john,71.43
Cyber Threat Intelligence,8,0,Needs Improvement,Full Stack Developer,lara,0.0
Deep Learning,7,10,can't predict,Artificial Intelligence (AI) Engineer,jefforson,142.86
Web Development Tools,9,8,Very Good,Cybersecurity Analyst,andrew,88.89
Networking Skills,8,6,Good,Data Analyst,jefforson,75.0
Attention to Detail,9,7,Good,Database Administrator,robin,77.78
Analytical Skills,7,6,Very Good,Full Stack Developer,lara,85.71
Performance Tuning,6,6,Excellent,Full Stack Developer,andrew,100.0
Back-end Technologies,2,5,can't predict,Full Stack Developer,jefforson,250.0
Back-end Technologies,2,10,can't predict,Artificial Intelligence (AI) Engineer,lara,500.0
Database Management,2,5,can't predict,Data Analyst,andrew,250.0
Critical Thinking,4,8,can't predict,Cybersecurity Analyst,jefforson,200.0
Security Policies and Compliance,4,8,can't predict,Cybersecurity Analyst,andrew,200.0
Scripting and Automation,7,1,Extremely Poor,Data Analyst,jefforson,14.29
Database Security,8,10,can't predict,Data Analyst,lara,125.0
Critical Thinking,7,0,Needs Improvement,Data Analyst,andrew,0.0
Database Knowledge,7,5,Good,Database Administrator,jefforson,71.43
Algorithm Development,9,7,Good,Cybersecurity Analyst,andrew,77.78
Understanding of Security Tools,4,8,can't predict,Full Stack Developer,andrew,200.0
Analytical Skills,4,6,can't predict,Artificial Intelligence (AI) Engineer,robin,150.0
Knowledge of Security Tools,6,9,can't predict,Database Administrator,john,150.0
Statistical Knowledge,3,1,Poor,Data Analyst,jefforson,33.33
Programming Skills,2,0,Needs Improvement,Artificial Intelligence (AI) Engineer,robin,0.0
Database Management Systems,6,4,Above Average,Database Administrator,robin,66.67
Algorithm Development,6,6,Excellent,Data Analyst,andrew,100.0
Web Development Tools,7,3,Below Average,Full Stack Developer,lara,42.86
Risk Assessment and Management,6,6,Excellent,Data Analyst,john,100.0
Back-end Technologies,5,7,can't predict,Data Analyst,john,140.0
Data Handling,4,3,Good,Artificial Intelligence (AI) Engineer,jefforson,75.0
Scripting and Automation,7,4,Average,Full Stack Developer,robin,57.14
Attention to Detail,10,2,Very Poor,Full Stack Developer,jefforson,20.0
Web Development Tools,7,5,Good,Database Administrator,robin,71.43
Problem-Solving Abilities,4,0,Needs Improvement,Full Stack Developer,lara,0.0
Critical Thinking,10,10,Excellent,Full Stack Developer,robin,100.0
Back-end Technologies,1,2,can't predict,Full Stack Developer,robin,200.0
Programming Skills,9,5,Average,Artificial Intelligence (AI) Engineer,robin,55.56
Front-end Technologies,5,4,Very Good,Data Analyst,john,80.0
Security Tools,10,4,Below Average,Data Analyst,andrew,40.0
Risk Assessment and Management,9,4,Below Average,Full Stack Developer,jefforson,44.44
Data Visualization,1,6,can't predict,Data Analyst,jefforson,600.0
Web Development Tools,7,2,Very Poor,Full Stack Developer,john,28.57
"APIs (RESTful, GraphQL)",10,8,Very Good,Data Analyst,andrew,80.0
Algorithm Development,9,5,Average,Cybersecurity Analyst,jefforson,55.56
Attention to Detail,8,4,Average,Database Administrator,robin,50.0
"APIs (RESTful, GraphQL)",3,6,can't predict,Data Analyst,andrew,200.0
Programming Skills,6,4,Above Average,Data Analyst,lara,66.67
Networking Skills,2,6,can't predict,Cybersecurity Analyst,jefforson,300.0
Critical Thinking,9,7,Good,Data Analyst,jefforson,77.78
Critical Thinking,4,9,can't predict,Full Stack Developer,robin,225.0
Risk Assessment and Management,9,2,Very Poor,Cybersecurity Analyst,robin,22.22
Troubleshooting and Problem-Solving,6,9,can't predict,Full Stack Developer,jefforson,150.0
Data Handling,2,5,can't predict,Database Administrator,andrew,250.0
Attention to Detail,3,8,can't predict,Artificial Intelligence (AI) Engineer,andrew,266.67
Statistical Knowledge,2,3,can't predict,Artificial Intelligence (AI) Engineer,lara,150.0
Database Management,2,10,can't predict,Cybersecurity Analyst,robin,500.0
Web Development Tools,7,6,Very Good,Data Analyst,andrew,85.71
Version Control/Git,9,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Database Knowledge,5,6,can't predict,Cybersecurity Analyst,john,120.0
Data Modeling and Design,6,5,Very Good,Artificial Intelligence (AI) Engineer,jefforson,83.33
Programming Skills,10,8,Very Good,Database Administrator,andrew,80.0
"APIs (RESTful, GraphQL)",1,5,can't predict,Data Analyst,robin,500.0
Performance Tuning,10,3,Poor,Data Analyst,lara,30.0
Critical Thinking,4,5,can't predict,Artificial Intelligence (AI) Engineer,jefforson,125.0
Programming Skills,3,5,can't predict,Cybersecurity Analyst,robin,166.67
Web Development Tools,6,8,can't predict,Artificial Intelligence (AI) Engineer,lara,133.33
Understanding of Security Tools,10,9,Excellent,Data Analyst,jefforson,90.0
Domain Knowledge,6,1,Extremely Poor,Data Analyst,andrew,16.67
Data Visualization,6,5,Very Good,Data Analyst,andrew,83.33
Domain Knowledge,10,0,Needs Improvement,Cybersecurity Analyst,robin,0.0
Data Visualization,1,8,can't predict,Artificial Intelligence (AI) Engineer,robin,800.0
Front-end Technologies,7,1,Extremely Poor,Cybersecurity Analyst,robin,14.29
Deep Learning,10,10,Excellent,Cybersecurity Analyst,andrew,100.0
"APIs (RESTful, GraphQL)",3,1,Poor,Database Administrator,robin,33.33
Critical Thinking,4,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Version Control/Git,8,5,Above Average,Artificial Intelligence (AI) Engineer,andrew,62.5
Cyber Threat Intelligence,6,6,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Statistical Knowledge,2,9,can't predict,Full Stack Developer,andrew,450.0
Problem-Solving Abilities,1,10,can't predict,Data Analyst,andrew,1000.0
Front-end Technologies,2,0,Needs Improvement,Artificial Intelligence (AI) Engineer,lara,0.0
Troubleshooting and Problem-Solving,5,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Programming Skills,1,6,can't predict,Full Stack Developer,john,600.0
Data Visualization,4,2,Average,Full Stack Developer,robin,50.0
Front-end Technologies,5,3,Above Average,Cybersecurity Analyst,jefforson,60.0
"APIs (RESTful, GraphQL)",6,3,Average,Database Administrator,john,50.0
Attention to Detail,10,8,Very Good,Database Administrator,jefforson,80.0
Statistical Knowledge,1,6,can't predict,Database Administrator,jefforson,600.0
Mathematics and Statistics.,4,2,Average,Full Stack Developer,robin,50.0
Data Visualization,9,6,Above Average,Full Stack Developer,andrew,66.67
Backup and Recovery,9,3,Poor,Full Stack Developer,robin,33.33
Version Control/Git,7,5,Good,Full Stack Developer,jefforson,71.43
Domain Knowledge,9,10,can't predict,Data Analyst,robin,111.11
Programming Skills,10,3,Poor,Database Administrator,andrew,30.0
Data Visualization,5,2,Below Average,Data Analyst,andrew,40.0
Algorithm Development,5,9,can't predict,Artificial Intelligence (AI) Engineer,jefforson,180.0
Scripting and Automation,3,1,Poor,Data Analyst,lara,33.33
Database Management,4,1,Very Poor,Full Stack Developer,andrew,25.0
Analytical Skills,7,6,Very Good,Data Analyst,lara,85.71
Statistical Knowledge,8,6,Good,Database Administrator,john,75.0
"APIs (RESTful, GraphQL)",3,3,Excellent,Data Analyst,andrew,100.0
Database Knowledge,3,10,can't predict,Data Analyst,andrew,333.33
Domain Knowledge,5,3,Above Average,Artificial Intelligence (AI) Engineer,lara,60.0
Networking Skills,4,6,can't predict,Database Administrator,andrew,150.0
Database Security,9,7,Good,Data Analyst,robin,77.78
Troubleshooting and Problem-Solving,9,6,Above Average,Full Stack Developer,andrew,66.67
Mathematics and Statistics.,3,3,Excellent,Artificial Intelligence (AI) Engineer,robin,100.0
Analytical Skills,10,1,Extremely Poor,Data Analyst,lara,10.0
Statistical Knowledge,3,9,can't predict,Data Analyst,john,300.0
Database Management,2,2,Excellent,Database Administrator,lara,100.0
Problem-Solving Abilities,6,7,can't predict,Data Analyst,lara,116.67
Web Development Tools,9,3,Poor,Cybersecurity Analyst,jefforson,33.33
Web Development Tools,3,6,can't predict,Database Administrator,lara,200.0
Backup and Recovery,8,4,Average,Data Analyst,jefforson,50.0
Statistical Knowledge,10,6,Above Average,Cybersecurity Analyst,robin,60.0
Natural Language Processing ,2,2,Excellent,Data Analyst,lara,100.0
Problem-Solving Abilities,1,5,can't predict,Data Analyst,robin,500.0
Domain Knowledge,3,10,can't predict,Data Analyst,andrew,333.33
Machine Learning,1,6,can't predict,Cybersecurity Analyst,lara,600.0
Knowledge of Security Tools,10,6,Above Average,Database Administrator,robin,60.0
"APIs (RESTful, GraphQL)",7,0,Needs Improvement,Full Stack Developer,andrew,0.0
Networking Skills,4,0,Needs Improvement,Artificial Intelligence (AI) Engineer,robin,0.0
"APIs (RESTful, GraphQL)",6,7,can't predict,Full Stack Developer,jefforson,116.67
Programming Skills,5,5,Excellent,Data Analyst,jefforson,100.0
Back-end Technologies,1,3,can't predict,Artificial Intelligence (AI) Engineer,lara,300.0
SQL and Query Optimization,1,7,can't predict,Artificial Intelligence (AI) Engineer,jefforson,700.0
Analytical Skills,2,1,Average,Data Analyst,jefforson,50.0
Critical Thinking,10,9,Excellent,Cybersecurity Analyst,john,90.0
Version Control/Git,1,10,can't predict,Full Stack Developer,jefforson,1000.0
Scripting and Automation,2,5,can't predict,Artificial Intelligence (AI) Engineer,andrew,250.0
Risk Assessment and Management,4,8,can't predict,Full Stack Developer,jefforson,200.0
Attention to Detail,1,7,can't predict,Full Stack Developer,andrew,700.0
Risk Assessment and Management,7,0,Needs Improvement,Data Analyst,andrew,0.0
Front-end Technologies,3,6,can't predict,Data Analyst,robin,200.0
Understanding of Security Tools,2,9,can't predict,Full Stack Developer,andrew,450.0
Domain Knowledge,5,0,Needs Improvement,Data Analyst,john,0.0
Database Management Systems,4,10,can't predict,Database Administrator,jefforson,250.0
Natural Language Processing ,6,0,Needs Improvement,Data Analyst,andrew,0.0
Web Development Tools,5,10,can't predict,Full Stack Developer,jefforson,200.0
Troubleshooting and Problem-Solving,1,3,can't predict,Artificial Intelligence (AI) Engineer,robin,300.0
Programming Skills,1,2,can't predict,Data Analyst,jefforson,200.0
Knowledge of Security Tools,4,10,can't predict,Full Stack Developer,lara,250.0
Troubleshooting and Problem-Solving,1,10,can't predict,Data Analyst,andrew,1000.0
Critical Thinking,1,9,can't predict,Full Stack Developer,robin,900.0
Analytical Skills,6,7,can't predict,Full Stack Developer,lara,116.67
Analytical Skills,3,10,can't predict,Data Analyst,andrew,333.33
Back-end Technologies,10,1,Extremely Poor,Database Administrator,jefforson,10.0
Data Handling,8,4,Average,Data Analyst,john,50.0
Version Control/Git,6,10,can't predict,Data Analyst,robin,166.67
Domain Knowledge,5,1,Very Poor,Data Analyst,lara,20.0
Cyber Threat Intelligence,7,10,can't predict,Cybersecurity Analyst,lara,142.86
Front-end Technologies,8,1,Extremely Poor,Full Stack Developer,robin,12.5
Programming skills,3,3,Excellent,Data Analyst,jefforson,100.0
SQL and Query Optimization,4,9,can't predict,Artificial Intelligence (AI) Engineer,jefforson,225.0
Database Management,4,1,Very Poor,Database Administrator,jefforson,25.0
Deep Learning,1,6,can't predict,Artificial Intelligence (AI) Engineer,andrew,600.0
Domain Knowledge,5,9,can't predict,Full Stack Developer,robin,180.0
Programming Skills,9,7,Good,Cybersecurity Analyst,andrew,77.78
Domain Knowledge,5,7,can't predict,Database Administrator,john,140.0
Understanding of Security Tools,8,3,Poor,Cybersecurity Analyst,jefforson,37.5
Data Visualization,1,3,can't predict,Full Stack Developer,jefforson,300.0
Data Modeling and Design,7,1,Extremely Poor,Data Analyst,jefforson,14.29
Critical Thinking,6,9,can't predict,Data Analyst,jefforson,150.0
Statistical Knowledge,9,5,Average,Artificial Intelligence (AI) Engineer,jefforson,55.56
Data Handling,3,3,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Analytical Skills,10,0,Needs Improvement,Data Analyst,john,0.0
Attention to Detail,5,10,can't predict,Artificial Intelligence (AI) Engineer,jefforson,200.0
Web Development Tools,5,1,Very Poor,Database Administrator,jefforson,20.0
Natural Language Processing ,3,7,can't predict,Data Analyst,jefforson,233.33
Data Modeling and Design,5,2,Below Average,Data Analyst,jefforson,40.0
Database Knowledge,7,10,can't predict,Full Stack Developer,john,142.86
Machine Learning,4,10,can't predict,Full Stack Developer,jefforson,250.0
Backup and Recovery,2,5,can't predict,Artificial Intelligence (AI) Engineer,robin,250.0
"APIs (RESTful, GraphQL)",7,2,Very Poor,Cybersecurity Analyst,john,28.57
Algorithm Development,6,10,can't predict,Artificial Intelligence (AI) Engineer,andrew,166.67
Scripting and Automation,4,2,Average,Data Analyst,lara,50.0
Statistical Knowledge,10,10,Excellent,Database Administrator,andrew,100.0
Statistical Knowledge,6,5,Very Good,Full Stack Developer,andrew,83.33
Back-end Technologies,5,3,Above Average,Data Analyst,robin,60.0
Web Development Tools,5,6,can't predict,Artificial Intelligence (AI) Engineer,jefforson,120.0
Data Handling,1,1,Excellent,Data Analyst,jefforson,100.0
Database Knowledge,1,5,can't predict,Data Analyst,jefforson,500.0
Version Control/Git,8,0,Needs Improvement,Full Stack Developer,andrew,0.0
Cyber Threat Intelligence,3,5,can't predict,Artificial Intelligence (AI) Engineer,lara,166.67
Domain Knowledge,5,2,Below Average,Data Analyst,andrew,40.0
Attention to Detail,1,3,can't predict,Artificial Intelligence (AI) Engineer,robin,300.0
Back-end Technologies,1,3,can't predict,Database Administrator,john,300.0
Web Development Tools,10,3,Poor,Artificial Intelligence (AI) Engineer,john,30.0
Risk Assessment and Management,9,6,Above Average,Cybersecurity Analyst,jefforson,66.67
Machine Learning,10,3,Poor,Database Administrator,jefforson,30.0
Back-end Technologies,4,3,Good,Artificial Intelligence (AI) Engineer,robin,75.0
Data Visualization,9,3,Poor,Database Administrator,jefforson,33.33
Backup and Recovery,5,6,can't predict,Full Stack Developer,robin,120.0
Networking Skills,7,6,Very Good,Cybersecurity Analyst,lara,85.71
Networking Skills,3,0,Needs Improvement,Full Stack Developer,lara,0.0
Networking Skills,5,9,can't predict,Full Stack Developer,jefforson,180.0
Database Management Systems,4,7,can't predict,Data Analyst,robin,175.0
Programming Skills,10,1,Extremely Poor,Cybersecurity Analyst,lara,10.0
Analytical Skills,3,8,can't predict,Database Administrator,jefforson,266.67
Critical Thinking,1,0,Needs Improvement,Cybersecurity Analyst,andrew,0.0
Cyber Threat Intelligence,4,5,can't predict,Data Analyst,john,125.0
Scripting and Automation,1,6,can't predict,Full Stack Developer,robin,600.0
Analytical Skills,1,6,can't predict,Artificial Intelligence (AI) Engineer,lara,600.0
Data Modeling and Design,4,2,Average,Full Stack Developer,robin,50.0
Attention to Detail,2,7,can't predict,Cybersecurity Analyst,robin,350.0
Security Tools,5,10,can't predict,Artificial Intelligence (AI) Engineer,john,200.0
Networking Skills,3,7,can't predict,Database Administrator,andrew,233.33
Networking Skills,8,9,can't predict,Data Analyst,andrew,112.5
Attention to Detail,2,8,can't predict,Data Analyst,andrew,400.0
Programming skills,8,4,Average,Full Stack Developer,jefforson,50.0
Data Handling,9,4,Below Average,Artificial Intelligence (AI) Engineer,andrew,44.44
Programming Skills,7,4,Average,Data Analyst,lara,57.14
Statistical Knowledge,7,2,Very Poor,Full Stack Developer,john,28.57
Mathematics and Statistics.,10,10,Excellent,Database Administrator,jefforson,100.0
Data Handling,7,0,Needs Improvement,Data Analyst,lara,0.0
"APIs (RESTful, GraphQL)",10,7,Good,Artificial Intelligence (AI) Engineer,andrew,70.0
Understanding of Security Tools,9,1,Extremely Poor,Full Stack Developer,john,11.11
Domain Knowledge,3,8,can't predict,Data Analyst,lara,266.67
Programming Skills,6,10,can't predict,Artificial Intelligence (AI) Engineer,jefforson,166.67
Scripting and Automation,1,1,Excellent,Full Stack Developer,john,100.0
Networking Skills,4,8,can't predict,Data Analyst,lara,200.0
Database Knowledge,8,8,Excellent,Full Stack Developer,andrew,100.0
Attention to Detail,9,6,Above Average,Cybersecurity Analyst,andrew,66.67
Web Development Tools,4,1,Very Poor,Artificial Intelligence (AI) Engineer,lara,25.0
SQL and Query Optimization,5,4,Very Good,Full Stack Developer,jefforson,80.0
"APIs (RESTful, GraphQL)",8,7,Very Good,Database Administrator,robin,87.5
Database Management,3,8,can't predict,Cybersecurity Analyst,john,266.67
Mathematics and Statistics.,8,0,Needs Improvement,Cybersecurity Analyst,john,0.0
Critical Thinking,3,10,can't predict,Full Stack Developer,jefforson,333.33
Cyber Threat Intelligence,1,3,can't predict,Database Administrator,jefforson,300.0
Problem-Solving Abilities,4,2,Average,Data Analyst,lara,50.0
Algorithm Development,2,3,can't predict,Artificial Intelligence (AI) Engineer,lara,150.0
Domain Knowledge,7,6,Very Good,Artificial Intelligence (AI) Engineer,jefforson,85.71
Back-end Technologies,10,0,Needs Improvement,Database Administrator,jefforson,0.0
Scripting and Automation,8,6,Good,Full Stack Developer,jefforson,75.0
Statistical Knowledge,7,6,Very Good,Artificial Intelligence (AI) Engineer,jefforson,85.71
Database Management,1,2,can't predict,Full Stack Developer,robin,200.0
Programming skills,2,9,can't predict,Cybersecurity Analyst,andrew,450.0
"APIs (RESTful, GraphQL)",5,9,can't predict,Data Analyst,andrew,180.0
Cyber Threat Intelligence,1,8,can't predict,Database Administrator,jefforson,800.0
Understanding of Security Tools,6,4,Above Average,Full Stack Developer,andrew,66.67
Front-end Technologies,4,1,Very Poor,Data Analyst,john,25.0
Programming skills,3,2,Above Average,Artificial Intelligence (AI) Engineer,jefforson,66.67
Database Management,7,6,Very Good,Artificial Intelligence (AI) Engineer,andrew,85.71
Data Modeling and Design,2,6,can't predict,Data Analyst,john,300.0
Statistical Knowledge,10,5,Average,Data Analyst,robin,50.0
Programming skills,7,7,Excellent,Full Stack Developer,jefforson,100.0
Domain Knowledge,3,1,Poor,Database Administrator,john,33.33
Statistical Knowledge,2,2,Excellent,Data Analyst,robin,100.0
Troubleshooting and Problem-Solving,4,9,can't predict,Data Analyst,andrew,225.0
Database Management,10,10,Excellent,Database Administrator,jefforson,100.0
Statistical Knowledge,8,7,Very Good,Data Analyst,jefforson,87.5
Deep Learning,1,8,can't predict,Data Analyst,jefforson,800.0
Database Knowledge,5,5,Excellent,Database Administrator,lara,100.0
Critical Thinking,10,9,Excellent,Data Analyst,andrew,90.0
Front-end Technologies,10,3,Poor,Artificial Intelligence (AI) Engineer,jefforson,30.0
SQL and Query Optimization,7,8,can't predict,Artificial Intelligence (AI) Engineer,john,114.29
Domain Knowledge,2,4,can't predict,Data Analyst,jefforson,200.0
Security Policies and Compliance,10,7,Good,Full Stack Developer,john,70.0
Problem-Solving Abilities,3,5,can't predict,Database Administrator,lara,166.67
Problem-Solving Abilities,4,9,can't predict,Full Stack Developer,andrew,225.0
Analytical Skills,10,6,Above Average,Artificial Intelligence (AI) Engineer,jefforson,60.0
Data Visualization,5,6,can't predict,Database Administrator,andrew,120.0
Machine Learning,8,2,Very Poor,Cybersecurity Analyst,robin,25.0
Troubleshooting and Problem-Solving,8,4,Average,Data Analyst,jefforson,50.0
SQL and Query Optimization,9,6,Above Average,Cybersecurity Analyst,john,66.67
Version Control/Git,7,1,Extremely Poor,Data Analyst,john,14.29
Algorithm Development,4,10,can't predict,Artificial Intelligence (AI) Engineer,robin,250.0
Troubleshooting and Problem-Solving,7,9,can't predict,Database Administrator,lara,128.57
Knowledge of Security Tools,5,8,can't predict,Database Administrator,jefforson,160.0
Data Visualization,2,4,can't predict,Full Stack Developer,lara,200.0
Understanding of Security Tools,4,1,Very Poor,Full Stack Developer,andrew,25.0
Understanding of Security Tools,3,9,can't predict,Full Stack Developer,john,300.0
Database Knowledge,1,0,Needs Improvement,Database Administrator,lara,0.0
Programming Skills,6,2,Poor,Full Stack Developer,john,33.33
Performance Tuning,9,3,Poor,Database Administrator,andrew,33.33
Data Visualization,6,0,Needs Improvement,Cybersecurity Analyst,andrew,0.0
Security Policies and Compliance,4,4,Excellent,Cybersecurity Analyst,andrew,100.0
Front-end Technologies,2,8,can't predict,Data Analyst,jefforson,400.0
Mathematics and Statistics.,2,9,can't predict,Full Stack Developer,lara,450.0
Domain Knowledge,6,1,Extremely Poor,Data Analyst,jefforson,16.67
Data Modeling and Design,3,3,Excellent,Cybersecurity Analyst,jefforson,100.0
Problem-Solving Abilities,7,1,Extremely Poor,Data Analyst,jefforson,14.29
Troubleshooting and Problem-Solving,3,6,can't predict,Cybersecurity Analyst,lara,200.0
Deep Learning,4,3,Good,Full Stack Developer,john,75.0
Deep Learning,3,2,Above Average,Cybersecurity Analyst,lara,66.67
Critical Thinking,1,9,can't predict,Full Stack Developer,jefforson,900.0
Natural Language Processing ,9,9,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Algorithm Development,7,5,Good,Data Analyst,jefforson,71.43
SQL and Query Optimization,9,10,can't predict,Artificial Intelligence (AI) Engineer,lara,111.11
Cyber Threat Intelligence,2,6,can't predict,Full Stack Developer,robin,300.0
Risk Assessment and Management,5,0,Needs Improvement,Data Analyst,jefforson,0.0
Database Knowledge,4,8,can't predict,Database Administrator,jefforson,200.0
"APIs (RESTful, GraphQL)",6,7,can't predict,Full Stack Developer,lara,116.67
Scripting and Automation,4,7,can't predict,Data Analyst,john,175.0
Data Modeling and Design,2,0,Needs Improvement,Artificial Intelligence (AI) Engineer,lara,0.0
Front-end Technologies,6,5,Very Good,Cybersecurity Analyst,robin,83.33
Understanding of Security Tools,3,5,can't predict,Cybersecurity Analyst,andrew,166.67
Risk Assessment and Management,10,2,Very Poor,Database Administrator,lara,20.0
Analytical Skills,5,6,can't predict,Data Analyst,jefforson,120.0
Database Management,1,2,can't predict,Full Stack Developer,robin,200.0
Database Management,1,6,can't predict,Database Administrator,jefforson,600.0
Critical Thinking,10,4,Below Average,Artificial Intelligence (AI) Engineer,john,40.0
Version Control/Git,1,4,can't predict,Cybersecurity Analyst,andrew,400.0
Critical Thinking,3,8,can't predict,Database Administrator,andrew,266.67
Mathematics and Statistics.,1,4,can't predict,Cybersecurity Analyst,andrew,400.0
Data Visualization,10,6,Above Average,Artificial Intelligence (AI) Engineer,robin,60.0
Scripting and Automation,4,9,can't predict,Full Stack Developer,jefforson,225.0
Database Security,4,8,can't predict,Artificial Intelligence (AI) Engineer,andrew,200.0
SQL and Query Optimization,9,5,Average,Full Stack Developer,john,55.56
Data Visualization,8,10,can't predict,Artificial Intelligence (AI) Engineer,andrew,125.0
Database Knowledge,6,2,Poor,Database Administrator,lara,33.33
Mathematics and Statistics.,2,6,can't predict,Cybersecurity Analyst,jefforson,300.0
Programming Skills,9,9,Excellent,Data Analyst,lara,100.0
Domain Knowledge,8,8,Excellent,Cybersecurity Analyst,john,100.0
Version Control/Git,7,5,Good,Artificial Intelligence (AI) Engineer,robin,71.43
Data Handling,3,0,Needs Improvement,Data Analyst,andrew,0.0
Database Knowledge,7,10,can't predict,Data Analyst,jefforson,142.86
Database Management,2,5,can't predict,Cybersecurity Analyst,jefforson,250.0
"APIs (RESTful, GraphQL)",4,8,can't predict,Artificial Intelligence (AI) Engineer,jefforson,200.0
Statistical Knowledge,8,10,can't predict,Data Analyst,robin,125.0
Back-end Technologies,1,7,can't predict,Artificial Intelligence (AI) Engineer,jefforson,700.0
Problem-Solving Abilities,9,9,Excellent,Full Stack Developer,lara,100.0
Networking Skills,10,1,Extremely Poor,Artificial Intelligence (AI) Engineer,andrew,10.0
Data Visualization,1,0,Needs Improvement,Data Analyst,john,0.0
Domain Knowledge,2,6,can't predict,Data Analyst,andrew,300.0
Database Management,5,5,Excellent,Cybersecurity Analyst,robin,100.0
Domain Knowledge,5,5,Excellent,Full Stack Developer,jefforson,100.0
Programming Skills,6,2,Poor,Full Stack Developer,jefforson,33.33
Programming Skills,2,2,Excellent,Cybersecurity Analyst,john,100.0
Database Management,9,6,Above Average,Database Administrator,jefforson,66.67
Front-end Technologies,10,8,Very Good,Cybersecurity Analyst,robin,80.0
Database Security,7,2,Very Poor,Full Stack Developer,robin,28.57
Web Development Tools,2,8,can't predict,Data Analyst,andrew,400.0
Cyber Threat Intelligence,5,10,can't predict,Data Analyst,andrew,200.0
Database Security,5,1,Very Poor,Data Analyst,john,20.0
Security Policies and Compliance,4,9,can't predict,Cybersecurity Analyst,jefforson,225.0
Data Visualization,5,2,Below Average,Full Stack Developer,john,40.0
Algorithm Development,4,9,can't predict,Cybersecurity Analyst,john,225.0
Critical Thinking,9,0,Needs Improvement,Full Stack Developer,john,0.0
Security Tools,9,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Data Visualization,2,8,can't predict,Data Analyst,jefforson,400.0
Version Control/Git,7,6,Very Good,Data Analyst,jefforson,85.71
Algorithm Development,5,5,Excellent,Cybersecurity Analyst,john,100.0
Data Visualization,10,9,Excellent,Database Administrator,jefforson,90.0
Database Management,1,10,can't predict,Data Analyst,lara,1000.0
Statistical Knowledge,7,6,Very Good,Artificial Intelligence (AI) Engineer,john,85.71
Web Development Tools,10,10,Excellent,Data Analyst,andrew,100.0
Networking Skills,4,9,can't predict,Full Stack Developer,john,225.0
SQL and Query Optimization,10,2,Very Poor,Cybersecurity Analyst,robin,20.0
Attention to Detail,9,4,Below Average,Full Stack Developer,andrew,44.44
Natural Language Processing ,2,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Networking Skills,10,8,Very Good,Cybersecurity Analyst,jefforson,80.0
